"Chave","Tipo de item","Pai","Resumo","Status","Responsável","Start date","Data de início inferida","Data limite","Data de entrega inferida","Issue color"
"DTIFLIX-1","Epic","","Planejamento do Projeto","Tarefas pendentes","","","","","","purple"
"DTIFLIX-14","Tarefa","DTIFLIX-1","Definir escopo inicial do projeto","Concluído","","","","","","purple"
"DTIFLIX-15","Tarefa","DTIFLIX-1","Escolher tecnologias e stack","Concluído","","","","","","purple"
"DTIFLIX-16","Tarefa","DTIFLIX-1","Criar roadmap e cronograma","Concluído","","","","","","purple"
"DTIFLIX-2","Epic","","Setup do Projeto","Tarefas pendentes","","","","","","blue"
"DTIFLIX-25","Tarefa","DTIFLIX-2","Configurar ambiente do frontend","Em andamento","","","","","","purple"
"DTIFLIX-26","Tarefa","DTIFLIX-2","Configurar backend com Sequelize","Em andamento","","","","","","purple"
"DTIFLIX-3","Epic","","Integração com API OMDb","Tarefas pendentes","","","","","","green"
"DTIFLIX-27","Tarefa","DTIFLIX-3","Implementar busca por filmes","Tarefas pendentes","","","","","","purple"
"DTIFLIX-28","Tarefa","DTIFLIX-3","Implementar tela de detalhes","Tarefas pendentes","","","","","","purple"
"DTIFLIX-4","Epic","","Módulo de Favoritos","Tarefas pendentes","","","","","","teal"
"DTIFLIX-29","Tarefa","DTIFLIX-4","Criar CRUD de favoritos","Tarefas pendentes","","","","","","purple"
"DTIFLIX-30","Tarefa","DTIFLIX-4","Página de favoritos","Tarefas pendentes","","","","","","purple"
"DTIFLIX-5","Epic","","Módulo de Avaliações","Tarefas pendentes","","","","","","yellow"
"DTIFLIX-31","Tarefa","DTIFLIX-5","Criar CRUD de avaliações","Tarefas pendentes","","","","","","purple"
"DTIFLIX-32","Tarefa","DTIFLIX-5","Interface de avaliação nos filmes","Tarefas pendentes","","","","","","purple"
"DTIFLIX-6","Epic","","Histórico de Buscas & Estatísticas","Tarefas pendentes","","","","","","orange"
"DTIFLIX-33","Tarefa","DTIFLIX-6","Histórico de buscas","Tarefas pendentes","","","","","","purple"
"DTIFLIX-34","Tarefa","DTIFLIX-6","Calcular estatísticas","Tarefas pendentes","","","","","","purple"
"DTIFLIX-7","Epic","","Dashboard / Meus Dados","Tarefas pendentes","","","","","","purple"
"DTIFLIX-35","Tarefa","DTIFLIX-7","Página /stats com gráficos (Recharts)","Tarefas pendentes","","","","","","purple"
"DTIFLIX-36","Tarefa","DTIFLIX-7","Cards de resumo (nota média, total buscado etc.)","Tarefas pendentes","","","","","","purple"
"DTIFLIX-8","Epic","","UI/UX e Responsividade","Tarefas pendentes","","","","","","grey"
"DTIFLIX-37","Tarefa","DTIFLIX-8","Garantir responsividade mobile/desktop","Tarefas pendentes","","","","","","purple"
"DTIFLIX-38","Tarefa","DTIFLIX-8","Implementar feedbacks visuais e mensagens de erro","Tarefas pendentes","","","","","","purple"
"DTIFLIX-9","Epic","","Infraestrutura & Documentação","Tarefas pendentes","","","","","","dark_purple"
"DTIFLIX-39","Tarefa","DTIFLIX-9","Criar README completo","Tarefas pendentes","","","","","","purple"
"DTIFLIX-40","Tarefa","DTIFLIX-9","Configurar scripts de execução","Tarefas pendentes","","","","","","purple"
"DTIFLIX-41","Tarefa","DTIFLIX-9","(Bônus): Deploy em Vercel + Railway/Render","Tarefas pendentes","","","","","","purple"
"DTIFLIX-10","Epic","","Testes & Qualidade","Tarefas pendentes","","","","","","dark_blue"
"DTIFLIX-42","Tarefa","DTIFLIX-10","Testes de backend","Tarefas pendentes","","","","","","purple"
"DTIFLIX-43","Tarefa","DTIFLIX-10","Testes de frontend","Tarefas pendentes","","","","","","purple"
